ID;Module;Source Location;Source Function;Level;Max Time Over Threads (s);Time w.r.t. Wall Time (s);Coverage (% app. time);Speedup if no scalar integer;Speedup if FP arith vectorized;Speedup if fully vectorized;Speedup if FP only;Number of paths;Vectorization Ratio (%);Vectorization Efficiency (%);CQA cycles;CQA cycles if no scalar integer;CQA cycles if FP arith vectorized;CQA cycles if fully vectorized;CQA cycles if FP only
Loop 118;al_dense_cython_lib.cpython-312-x86_64-linux-gnu.so;al_dense_cython_lib.c:7011-7011,al_dense_cython_lib.c:7020-7023,al_dense_cython_lib.c:7029-7031,al_dense_cython_lib.c:7038-7051,object.h:242-242,object.h:700-705;__pyx_pw_19al_dense_cython_lib_19matrix_multiply;Innermost;1.98;1.98;4.48;1.00;1.00;12.42;2.32;6561;0.00;11.49;30.20;30.20;30.20;2.43;13.00
Loop 845;libpython3.12.so.1.0;object.h:243-243,object.h:701-706,object.h:798-798,listobject.c:355-358;list_dealloc;Single;0.61;0.61;1.38;1.00;NA;NA;1.12;4;0.00;11.39;1.82;1.82;NA;NA;1.63
Loop 837;libpython3.12.so.1.0;listobject.c:2704-2705;list_traverse;Single;0.51;0.51;1.16;1.00;1.00;10.91;1.20;2;0.00;11.72;1.50;1.50;1.50;0.14;1.25
Loop 88;al_dense_cython_lib.cpython-312-x86_64-linux-gnu.so;listobject.h:44-44,al_dense_cython_lib.c:4585-4585,al_dense_cython_lib.c:4605-4611,al_dense_cython_lib.c:9743-9744,al_dense_cython_lib.c:9756-9761,al_dense_cython_lib.c:9838-9839,al_dense_cython_lib.c:9848-9849,al_dense_cython_lib.c:9886-9886,object.h:242-242,object.h:643-646,object.h:700-705;__pyx_pw_19al_dense_cython_lib_7hadamard_product;Innermost;0.17;0.17;0.38;1.00;1.00;12.44;2.30;1;0.00;10.71;27.60;27.60;27.60;2.22;12.00
Loop 127;al_dense_cython_lib.cpython-312-x86_64-linux-gnu.so;listobject.h:44-44,al_dense_cython_lib.c:4887-4887,al_dense_cython_lib.c:4897-4897,al_dense_cython_lib.c:4903-4905,al_dense_cython_lib.c:4913-4919,al_dense_cython_lib.c:9743-9744,al_dense_cython_lib.c:9756-9761,al_dense_cython_lib.c:9838-9839,al_dense_cython_lib.c:9848-9849,al_dense_cython_lib.c:9886-9886,object.h:242-242,object.h:643-646,object.h:700-705;__pyx_pw_19al_dense_cython_lib_9saxpy;Single;0.14;0.14;0.33;2.18;1.00;13.55;2.18;54675;0.00;10.51;37.00;17.00;37.00;2.73;17.00
Loop 76;al_dense_cython_lib.cpython-312-x86_64-linux-gnu.so;al_dense_cython_lib.c:3727-3727,al_dense_cython_lib.c:3743-3749,al_dense_cython_lib.c:9756-9757,al_dense_cython_lib.c:9838-9839,al_dense_cython_lib.c:9848-9849,al_dense_cython_lib.c:9886-9886,listobject.h:44-44,object.h:242-242,object.h:643-646,object.h:700-705;__pyx_pw_19al_dense_cython_lib_1vector_scalar_multiply;Innermost;0.13;0.13;0.29;1.98;1.00;13.33;2.08;1;0.00;10.16;19.80;10.00;19.80;1.49;9.50
Loop 95;al_dense_cython_lib.cpython-312-x86_64-linux-gnu.so;listobject.h:44-44,al_dense_cython_lib.c:4010-4010,al_dense_cython_lib.c:4030-4036,al_dense_cython_lib.c:9743-9744,al_dense_cython_lib.c:9756-9761,al_dense_cython_lib.c:9838-9839,al_dense_cython_lib.c:9848-9849,al_dense_cython_lib.c:9886-9886,object.h:242-242,object.h:643-646,object.h:700-705;__pyx_pw_19al_dense_cython_lib_3vector_addition;Innermost;0.1;0.1;0.24;1.00;1.00;12.44;2.30;1;0.00;10.71;27.60;27.60;27.60;2.22;12.00
Loop 82;al_dense_cython_lib.cpython-312-x86_64-linux-gnu.so;al_dense_cython_lib.c:4243-4243,al_dense_cython_lib.c:4289-4289,al_dense_cython_lib.c:4299-4299,al_dense_cython_lib.c:4305-4305,al_dense_cython_lib.c:4311-4321,al_dense_cython_lib.c:9743-9744,al_dense_cython_lib.c:9756-9761,object.h:242-242,object.h:643-646,object.h:700-705,floatobject.h:16-16;__pyx_pw_19al_dense_cython_lib_5dot_product;Single;0.1;0.1;0.23;2.12;1.00;12.98;2.19;36450;0.00;10.80;32.80;15.50;32.80;2.53;15.00
Loop 75;al_dense_cython_lib.cpython-312-x86_64-linux-gnu.so;listobject.h:44-44,al_dense_cython_lib.c:3709-3710,object.h:643-646;__pyx_pw_19al_dense_cython_lib_1vector_scalar_multiply;Single;0.02;0.02;0.05;1.00;1.00;9.60;1.50;2;0.00;8.07;1.50;1.50;1.50;0.16;1.00
Loop 55;al_dense_cython_lib.cpython-312-x86_64-linux-gnu.so;al_dense_cython_lib.c:6112-6112,al_dense_cython_lib.c:6126-6139,object.h:242-242,object.h:700-705;__pyx_pw_19al_dense_cython_lib_15matrix_scalar_multiply;Innermost;0.01;0.01;0.02;2.26;1.00;12.71;2.26;243;0.00;11.48;19.20;8.50;19.20;1.51;8.50
