group_size;pattern;opcodes;offsets;addresses;stride_status;stride;memory_status;accessed_memory;accessed_memory_nooverlap;accessed_memory_overlap;span;head;unroll_factor;
2;LS;MOV,MOV,;0,0,;0x149c2,0x149cc,;Not mono block loop;0;Success;16;8;8;8;0;1;
2;LL;CMP,MOV,;16,24,;0x149d9,0x149e3,;Not mono block loop;0;Success;16;16;0;16;0;1;
2;LS;MOV,MOV,;0,0,;0x14963,0x1496a,;Not mono block loop;0;Success;8;4;4;4;0;1;
2;LS;MOV,MOV,;0,0,;0x149f5,0x14a03,;Not mono block loop;0;Success;16;8;8;8;0;1;
4;LSLS;MOV,MOV,MOV,MOV,;0,0,0,0,;0x149e7,0x149f3,0x14a0c,0x14a17,;Not mono block loop;0;Success;24;8;16;8;0;1;
2;LS;MOV,MOV,;0,0,;0x14ff3,0x15005,;Not mono block loop;0;Success;16;8;8;8;0;1;
2;LL;MOV,CMP,;24,16,;0x1495b,0x14a35,;Not mono block loop;0;Success;16;16;0;16;0;1;
1;L;MOV,;0,;0x1495f,;Not mono block loop;0;Success;8;8;0;8;0;1;
2;LL;CMP,MOV,;16,24,;0x1496d,0x14977,;Not mono block loop;0;Success;16;16;0;16;0;1;
2;LS;MOV,MOV,;0,0,;0x1497f,0x14985,;Not mono block loop;0;Success;8;4;4;4;0;1;
2;LS;MOV,MOV,;0,0,;0x149ec,0x149f8,;Not mono block loop;0;Success;16;8;8;8;0;1;
19;SLLSLLSSLLSLLLSLSLL;MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,CMP,;-112,-112,-112,-120,-120,-112,-112,-120,-112,-120,-112,-112,-104,-104,-112,-112,-112,-112,-128,;0x14fd3,0x14fdc,0x14ff6,0x15241,0x1524a,0x1524e,0x1498d,0x14991,0x1499a,0x1499e,0x14ea3,0x14eac,0x149d5,0x150f0,0x150f7,0x15100,0x15116,0x1511e,0x14a28,;Not mono block loop;0;Success;144;32;112;32;0;1;
1;L;MOV,;0,;0x1497b,;Not mono block loop;0;Success;8;8;0;8;0;1;
4;LSLS;MOV,MOV,MOV,MOV,;0,0,0,0,;0x149ae,0x149b9,0x15104,0x1510e,;Not mono block loop;0;Success;32;8;24;8;0;1;
