group_size;pattern;opcodes;offsets;addresses;stride_status;stride;memory_status;accessed_memory;accessed_memory_nooverlap;accessed_memory_overlap;span;head;unroll_factor;
2;SL;MOV,MOV,;8,8,;0x1b1c30,0x1b1c4d,;Not mono block loop;0;Success;16;8;8;8;0;1;
1;S;MOV,;16,;0x1b1ad5,;Not mono block loop;0;Success;8;8;0;8;0;1;
3;LSS;CMP,MOV,MOV,;16,32,32,;0x1b1b86,0x1b1c19,0x1b1b51,;Not mono block loop;0;Success;20;12;8;24;0;1;
1;S;MOV,;0,;0x1b1c5b,;Not mono block loop;0;Success;8;8;0;8;0;1;
2;LS;MOV,MOV,;24,24,;0x1b1a3f,0x1b1a55,;Not mono block loop;0;Success;16;8;8;8;0;1;
1;S;MOV,;40,;0x1b1b79,;Not mono block loop;0;Success;8;8;0;8;0;1;
2;LS;MOV,MOV,;0,0,;0x1b1af6,0x1b1b0f,;Not mono block loop;0;Success;16;8;8;8;0;1;
2;LS;MOV,MOV,;660,660,;0x1b19ff,0x1b1952,;Not mono block loop;0;Success;8;4;4;4;0;1;
1;S;MOV,;16,;0x1b1a59,;Not mono block loop;0;Success;8;8;0;8;0;1;
16;LLSLSLLLSSLSLLLS;MOV,MOV,MOV,MOV,MOV,CMP,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOVUPS,;24,16,24,40,16,20,32,40,40,32,0,32,40,32,32,32,;0x1b1ae3,0x1b1ae7,0x1b1afa,0x1b1b06,0x1b1b15,0x1b1b19,0x1b1bff,0x1b1c0c,0x1b1bc1,0x1b1bc5,0x1b1c21,0x1b1c43,0x1b1b40,0x1b1b44,0x1b1b55,0x1b1b6f,;Not mono block loop;0;Success;124;40;84;48;0;1;
1;S;MOV,;40,;0x1b1bce,;Not mono block loop;0;Success;8;8;0;8;0;1;
1;L;MOV,;16,;0x1b19fb,;Not mono block loop;0;Success;8;8;0;8;0;1;
2;SS;MOV,MOV,;40,40,;0x1b1c1d,0x1b1b5e,;Not mono block loop;0;Success;16;8;8;8;0;2;
2;LS;CMP,MOV,;0,0,;0x1b1b2c,0x1b1b33,;Not mono block loop;0;Success;16;8;8;8;0;1;
2;LS;MOV,MOV,;32,32,;0x1b1b62,0x1b1b7d,;Not mono block loop;0;Success;16;8;8;8;0;1;
14;LLLLLLLSLSLSSS;MOV,MOV,MOV,CMP,MOV,MOV,MOV,MOV,MOV,DEC,CMP,MOV,MOV,MOV,;2114813,2062913,2062732,2247498,2248061,2246945,2246824,2246812,2062845,2246773,2246958,2246911,2246938,2246886,;0x1b19f4,0x1b1958,0x1b1a0d,0x1b1978,0x1b1984,0x1b1bb8,0x1b1c29,0x1b1c35,0x1b1c3c,0x1b1c54,0x1b1bd2,0x1b1bda,0x1b1be7,0x1b1bf3,;Not mono block loop;0;Success;108;107;1;185337;0;1;
1;S;MOV,;0,;0x1b1ba2,;Not mono block loop;0;Success;8;8;0;8;0;1;
1;S;MOV,;24,;0x1b1ad1,;Not mono block loop;0;Success;8;8;0;8;0;1;
11;LLSLSLSLLLS;MOV,MOV,MOV,MOV,MOV,MOV,MOVAPS,MOV,MOV,MOV,MOV,;32,8,8,0,0,36,16,16,24,32,16,;0x1b1975,0x1b19b3,0x1b19bb,0x1b19bf,0x1b19c4,0x1b1a35,0x1b1a51,0x1b1ac9,0x1b1acd,0x1b1ad9,0x1b1aeb,;Not mono block loop;0;Success;76;36;40;40;0;1;
5;LLLSS;MOV,MOV,MOV,MOV,MOV,;24,-16,-8,-16,-16,;0x1b19df,0x1b19e3,0x1b1b93,0x1b1baf,0x1b19b7,;Not mono block loop;0;Success;40;24;16;48;0;1;
1;L;MOV,;0,;0x1b1a3b,;Not mono block loop;0;Success;8;8;0;8;0;1;
1;L;MOV,;0,;0x1b1996,;Not mono block loop;0;Success;8;8;0;8;0;1;
2;LL;MOV,MOV,;0,0,;0x1b195f,0x1b1a14,;Not mono block loop;0;Success;16;8;8;8;0;2;
2;LS;MOV,MOV,;8,8,;0x1b1b97,0x1b1bab,;Not mono block loop;0;Success;16;8;8;8;0;1;
