group_size;pattern;opcodes;offsets;addresses;stride_status;stride;memory_status;accessed_memory;accessed_memory_nooverlap;accessed_memory_overlap;span;head;unroll_factor;
6;LLLLLL;MOV,MOV,MOV,MOV,MOV,MOV,;0,0,8,8,16,16,;0x1fd737,0x1fd459,0x1fd74f,0x1fd47a,0x1fd40b,0x1fd439,;Not mono block loop;0;Success;48;24;24;24;0;2;
1;L;MOV,;24,;0x1fc3ec,;Not mono block loop;0;Success;8;8;0;8;0;1;
39;LLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLL;MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,;0,0,8,8,8,16,16,16,24,24,24,16,24,24,40,40,40,24,40,40,56,56,56,40,40,56,64,56,56,56,64,64,64,64,64,72,72,72,72,;0x1fe91d,0x1fd4db,0x1ff076,0x1fd76e,0x1fd4fc,0x1ff1d5,0x1fef58,0x1ffa42,0x1fd386,0x1ff937,0x1ff2f4,0x1fc788,0x1ffc10,0x1feff8,0x1ffbfe,0x1ffac9,0x1ff8e4,0x1ff39c,0x1fe954,0x1fc73c,0x1fd7ab,0x1ffc6d,0x1ff949,0x1ff8ab,0x1ff3d2,0x1ff088,0x1fef97,0x1ff02e,0x1fe5a8,0x1ff3b7,0x1fd3ba,0x1ff18a,0x1fdce8,0x1fc774,0x1ff40e,0x1fd3d6,0x1fc7dd,0x1fe5e8,0x1fdd19,;Not mono block loop;0;Success;312;64;248;80;0;1;
1;L;MOV,;96,;0x1fded9,;Not mono block loop;0;Success;8;8;0;8;0;1;
1;L;MOV,;96,;0x1fe069,;Not mono block loop;0;Success;8;8;0;8;0;1;
51;LLLSSSLSLLLSLLLLLLSSLLLLLLSLLSLLLLLSLLSLLLLSLSLLLSS;MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,CMP,CMP,MOV,MOV,CMP,MOV,CMP,CMP,CMP,MOV,MOV,MOV,CMP,MOV,CMP,CMP,CMP,CMP,MOV,CMP,MOV,MOV,MOV,CMP,CMP,CMP,CMP,MOV,CMP,MOV,MOV,CMP,CMP,MOV,CMP,MOV,CMP,MOV,MOV,CMP,CMP,MOV,MOV,;8,16,0,0,0,8,24,8,24,24,40,16,24,24,24,40,40,56,24,16,40,40,40,56,56,40,24,56,64,40,56,64,64,56,56,40,64,72,56,64,64,64,72,56,72,64,72,72,72,64,72,;0x1fc6f5,0x1fc6f9,0x1fc6fd,0x1fe929,0x1fd4f0,0x1fd77b,0x1fd77f,0x1fd513,0x1fd37b,0x1fef65,0x1fef6a,0x1fef6e,0x1fe93e,0x1fc791,0x1fc723,0x1fd795,0x1fd393,0x1fd398,0x1fd39c,0x1fc79f,0x1fe949,0x1ff005,0x1fc731,0x1fd7a0,0x1fef81,0x1fc7ac,0x1ff013,0x1fe961,0x1fe966,0x1fe96a,0x1fc752,0x1fef8c,0x1fd3af,0x1ff020,0x1fc7c0,0x1fc760,0x1fd7b8,0x1fd7bd,0x1fd7c1,0x1fc7cb,0x1fc76d,0x1fe5c2,0x1fe97d,0x1fe5d0,0x1fd3c7,0x1fd3cc,0x1fdd02,0x1fc7d6,0x1fe5dd,0x1fdd0c,0x1fc7f5,;Not mono block loop;0;Success;408;64;344;80;0;1;
1;L;MOV,;96,;0x1fdf41,;Not mono block loop;0;Success;8;8;0;8;0;1;
1;L;MOV,;96,;0x1fe369,;Not mono block loop;0;Success;8;8;0;8;0;1;
1;L;MOV,;96,;0x1fe3ce,;Not mono block loop;0;Success;8;8;0;8;0;1;
1;L;MOV,;96,;0x1fe491,;Not mono block loop;0;Success;8;8;0;8;0;1;
