group_size;pattern;opcodes;offsets;addresses;stride_status;stride;memory_status;accessed_memory;accessed_memory_nooverlap;accessed_memory_overlap;span;head;unroll_factor;
1;S;INC,;0,;0x4e705a,;Not mono block loop;0;Success;8;8;0;8;0;1;
1;L;MOV,;0,;0x4e7025,;Not mono block loop;0;Success;8;8;0;8;0;1;
1;L;MOV,;16,;0x4e72f5,;Not mono block loop;0;Success;8;8;0;8;0;1;
4;SSLL;MOV,MOV,MOV,MOV,;24,16,24,16,;0x4e7028,0x4e702d,0x4e7037,0x4e7048,;Not mono block loop;0;Success;32;16;16;16;0;2;
2;LS;MOV,MOV,;0,0,;0x4e70c2,0x4e70c5,;Not mono block loop;0;Success;16;8;8;8;0;1;
1;S;MOV,;0,;0x4e730f,;Not mono block loop;0;Success;8;8;0;8;0;1;
1;L;MOV,;712,;0x4e7073,;Not mono block loop;0;Success;8;8;0;8;0;1;
1;S;DEC,;0,;0x4e70ae,;Not mono block loop;0;Success;8;8;0;8;0;1;
1;L;MOV,;16,;0x4e753d,;Not mono block loop;0;Success;8;8;0;8;0;1;
1;L;MOV,;0,;0x4e700e,;Not mono block loop;0;Success;8;8;0;8;0;1;
2;LS;MOV,MOV,;0,0,;0x4e732f,0x4e7332,;Not mono block loop;0;Success;16;8;8;8;0;1;
4;LLLL;MOV,MOVSXD,MOVSXD,MOV,;96,28,28,88,;0x4e7001,0x4e7324,0x4e70b7,0x4e70d1,;Not mono block loop;0;Success;24;20;4;76;0;1;
7;SSLSLLS;MOV,MOV,MOV,MOVUPS,MOV,MOV,MOVUPS,;16,16,-8,-16,-8,-8,-16,;0x4e704d,0x4e72de,0x4e72f1,0x4e731b,0x4e7535,0x4e7068,0x4e7092,;Not mono block loop;0;Success;72;24;48;40;0;1;
1;S;MOV,;0,;0x4e7086,;Not mono block loop;0;Success;8;8;0;8;0;1;
1;L;MOV,;16,;0x4e706c,;Not mono block loop;0;Success;8;8;0;8;0;1;
1;L;MOV,;8,;0x4e707a,;Not mono block loop;0;Success;8;8;0;8;0;1;
1;L;MOV,;712,;0x4e7545,;Not mono block loop;0;Success;8;8;0;8;0;1;
1;L;CMP,;16,;0x4e70d8,;Not mono block loop;0;Success;8;8;0;8;0;1;
2;LS;MOV,MOV,;0,0,;0x4e709b,0x4e709e,;Not mono block loop;0;Success;16;8;8;8;0;1;
3;LLL;MOV,MOV,MOV,;2493547,2492963,2494196,;0x4e72e6,0x4e752e,0x4e705d,;Not mono block loop;0;Success;24;24;0;1241;0;1;
1;S;MOV,;0,;0x4e7558,;Not mono block loop;0;Success;8;8;0;8;0;1;
1;L;MOV,;712,;0x4e72fc,;Not mono block loop;0;Success;8;8;0;8;0;1;
2;LS;MOV,MOV,;8,8,;0x4e7303,0x4e7320,;Not mono block loop;0;Success;16;8;8;8;0;1;
1;L;MOV,;8,;0x4e754c,;Not mono block loop;0;Success;8;8;0;8;0;1;
1;S;MOV,;8,;0x4e7097,;Not mono block loop;0;Success;8;8;0;8;0;1;
