group_size;pattern;opcodes;offsets;addresses;stride_status;stride;memory_status;accessed_memory;accessed_memory_nooverlap;accessed_memory_overlap;span;head;unroll_factor;
1;L;TEST,;24,;0x62dd91f,;Not mono block loop;0;Success;1;1;0;1;0;1;
1;L;MOV,;0,;0x62ddaa0,;Not mono block loop;0;Success;8;8;0;8;0;1;
1;L;MOVZX,;0,;0x62ddb7b,;Not mono block loop;0;Success;1;1;0;1;0;1;
1;L;MOVSXD,;28,;0x62dd903,;Not mono block loop;0;Success;4;4;0;4;0;1;
5;LLLLL;MOV,MOV,MOV,MOV,MOV,;64,0,32,0,32,;0x62dd95a,0x62ddc65,0x62ddc68,0x62ddd7e,0x62ddd81,;Not mono block loop;0;Success;40;24;16;72;0;1;
3;SLL;DEC,MOV,MOV,;8,0,0,;0x62ddd39,0x62ddd40,0x62ddd49,;Not mono block loop;0;Success;24;16;8;16;0;1;
1;L;MOV,;0,;0x62dd95e,;Not mono block loop;0;Success;8;8;0;8;0;1;
1;S;INC,;8,;0x62ddd62,;Not mono block loop;0;Success;8;8;0;8;0;1;
2;LL;CMP,CMP,;9,9,;0x62ddc50,0x62ddadd,;Not mono block loop;0;Success;2;1;1;1;0;2;
4;LSLS;CMP,MOV,CMP,MOV,;0,0,0,0,;0x62dda01,0x62dddc6,0x62ddbef,0x62ddc9e,;Not mono block loop;0;Success;32;8;24;8;0;1;
1;S;MOV,;36,;0x62dd969,;Not mono block loop;0;Success;8;8;0;8;0;1;
3;LLL;TEST,MOV,MOV,;5,48,8,;0x62dd9a0,0x62dd9ab,0x62dd9bf,;Not mono block loop;0;Success;17;17;0;51;0;1;
1;L;CMP,;0,;0x62dd9b4,;Not mono block loop;0;Success;1;1;0;1;0;1;
1;L;MOV,;8,;0x62ddb93,;Not mono block loop;0;Success;8;8;0;8;0;1;
4;LLLL;MOV,MOV,MOV,MOV,;32,16,16,16,;0x62dd933,0x62dd956,0x62ddc61,0x62ddd7a,;Not mono block loop;0;Success;32;16;16;24;0;1;
6;LLLLLL;MOVZX,MOV,CMP,VMOVUPS,MOV,MOV,;13,16,15,0,24,24,;0x62ddb07,0x62ddb0c,0x62ddb24,0x62ddb2e,0x62ddd2b,0x62ddd52,;Not mono block loop;0;Success;42;32;10;32;0;1;
2;LL;MOV,MOV,;8,8,;0x62ddc6c,0x62ddd85,;Not mono block loop;0;Success;16;8;8;8;0;2;
2;LL;MOV,MOV,;168,168,;0x62ddc70,0x62ddd89,;Not mono block loop;0;Success;16;8;8;8;0;2;
1;L;MOV,;8,;0x62dd9c3,;Not mono block loop;0;Success;8;8;0;8;0;1;
9;SSSSSSSLL;MOV,MOV,VMOVUPS,MOV,MOV,MOV,MOV,MOV,MOV,;32,16,0,24,32,0,8,8,0,;0x62ddc1b,0x62ddc27,0x62ddc2f,0x62ddc3d,0x62ddac6,0x62ddace,0x62ddad2,0x62ddaf3,0x62ddb03,;Not mono block loop;0;Success;72;36;36;36;0;1;
9;LLLLLLLLL;MOVSXD,MOVSXD,MOVSXD,MOVSXD,MOVSXD,MOVSXD,MOVSXD,MOVSXD,MOV,;36,40,28,24,36,40,28,24,8,;0x62dda3c,0x62dda40,0x62dda48,0x62dda4c,0x62ddb56,0x62ddb5a,0x62ddb62,0x62ddb66,0x62ddb8f,;Not mono block loop;0;Success;40;24;16;36;0;1;
2;LL;MOVZX,MOVZX,;13,13,;0x62dda30,0x62dd985,;Not mono block loop;0;Success;2;1;1;1;0;2;
43;LLLLSSLLLLSLLLSLLLLLLLLLSLLLLLSSLLSLSLLSLLL;MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,CMP,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,CMP,MOV,VMOVAPS,MOV,MOV,MOV,CMP,MOV,MOV,MOV,MOV,;-776,-840,-776,-776,-816,-792,-760,-832,-768,-624,-824,-808,-792,-768,-624,-808,-768,-624,-656,-792,-792,-760,-816,-768,-624,-784,-784,-776,-752,-816,-792,-608,-609,-720,-624,-688,-611,-600,-824,-600,-792,-776,-760,;0x62dd918,0x62dd923,0x62dd92c,0x62dd94f,0x62dd962,0x62dd970,0x62dda35,0x62dda5b,0x62dd9fa,0x62dda05,0x62ddb40,0x62dda76,0x62dda7e,0x62dddbf,0x62dddc9,0x62dda99,0x62ddbe8,0x62ddbf3,0x62dddd4,0x62ddc8e,0x62ddc04,0x62ddab2,0x62ddab9,0x62ddc97,0x62ddca1,0x62ddc49,0x62ddad6,0x62ddc5a,0x62ddcac,0x62ddcbd,0x62ddaf7,0x62ddb10,0x62ddb17,0x62ddccb,0x62ddb32,0x62ddce3,0x62ddd1d,0x62ddd24,0x62ddcfb,0x62ddd56,0x62ddd67,0x62ddd73,0x62dddae,;Not mono block loop;0;Success;338;144;194;248;0;1;
5;LLSLS;MOV,VMOVUPS,MOV,MOV,MOV,;16,0,15,24,24,;0x62ddc23,0x62ddc2b,0x62ddc35,0x62ddc39,0x62ddc41,;Not mono block loop;0;Success;41;32;9;32;0;1;
3;LLS;MOV,MOV,VMOVUPS,;0,8,0,;0x62dd937,0x62dd93b,0x62dd944,;Not mono block loop;0;Success;32;16;16;16;0;1;
1;L;MOVZX,;0,;0x62dda68,;Not mono block loop;0;Success;1;1;0;1;0;1;
