group_size;pattern;opcodes;offsets;addresses;stride_status;stride;memory_status;accessed_memory;accessed_memory_nooverlap;accessed_memory_overlap;span;head;unroll_factor;
1;L;MOV,;8,;0x1439f5,;Not mono block loop;0;Success;8;8;0;8;0;1;
1;L;MOV,;8,;0x1439b4,;Not mono block loop;0;Success;8;8;0;8;0;1;
1;L;TEST,;171,;0x1439b8,;Not mono block loop;0;Success;1;1;0;1;0;1;
1;L;MOV,;88,;0x143a17,;Not mono block loop;0;Success;8;8;0;8;0;1;
4;LSLS;MOV,MOV,MOV,MOV,;8,16,16,0,;0x143a62,0x143a7e,0x143a9b,0x143aa6,;Not mono block loop;0;Success;32;24;8;24;0;1;
1;L;MOV,;8,;0x1439b0,;Not mono block loop;0;Success;8;8;0;8;0;1;
1;L;MOV,;144,;0x1439c5,;Not mono block loop;0;Success;8;8;0;8;0;1;
4;LSLL;MOV,MOV,MOV,MOV,;2599029,2599018,2565345,2560338,;0x143a94,0x143a9f,0x143a10,0x143a3f,;Not mono block loop;0;Success;32;32;0;38699;0;1;
2;SS;MOV,MOV,;0,0,;0x1439e7,0x143a36,;Not mono block loop;0;Success;16;8;8;8;0;2;
1;L;SUB,;40,;0x1439fa,;Not mono block loop;0;Success;8;8;0;8;0;1;
