group_size;pattern;opcodes;offsets;addresses;stride_status;stride;memory_status;accessed_memory;accessed_memory_nooverlap;accessed_memory_overlap;span;head;unroll_factor;
2;LL;MOV,ADD,;104,112,;0x62e64aa,0x62e64b2,;Not mono block loop;0;Success;16;16;0;16;0;1;
4;LLLS;MOV,MOV,MOV,MOV,;0,16,8,0,;0x62e64bd,0x62e64cb,0x62e64ef,0x62e6408,;Not mono block loop;0;Success;32;24;8;24;0;1;
1;S;DEC,;0,;0x62e6498,;Not mono block loop;0;Success;4;4;0;4;0;1;
2;LS;CMP,MOV,;32,36,;0x62e6500,0x62e6563,;Not mono block loop;0;Success;12;12;0;12;0;1;
1;L;MOV,;8,;0x62e6436,;Not mono block loop;0;Success;8;8;0;8;0;1;
5;SSSSS;VMOVUPS,MOV,MOV,VMOVUPS,MOV,;0,0,16,0,24,;0x62e65b4,0x62e65a8,0x62e657f,0x62e6587,0x62e6594,;Not mono block loop;0;Success;56;32;24;32;0;1;
1;S;MOV,;0,;0x62e655c,;Not mono block loop;0;Success;4;4;0;4;0;1;
1;L;MOV,;0,;0x62e64ae,;Not mono block loop;0;Success;4;4;0;4;0;1;
1;L;MOV,;48,;0x62e6494,;Not mono block loop;0;Success;8;8;0;8;0;1;
1;L;MOV,;24,;0x62e6459,;Not mono block loop;0;Success;8;8;0;8;0;1;
3;LLL;MOVSXD,MOV,MOVSXD,;0,4,8,;0x62e643a,0x62e643d,0x62e6446,;Not mono block loop;0;Success;12;12;0;12;0;1;
1;L;TEST,;0,;0x62e6423,;Not mono block loop;0;Success;1;1;0;1;0;1;
22;LLLSSSLLLLLLLLLLSLLLLL;MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,CMP,;-424,-480,-424,-464,-456,-448,-416,-400,-408,-448,-456,-464,-416,-400,-408,-432,-208,-472,-416,-400,-408,-488,;0x62e641c,0x62e6426,0x62e642f,0x62e650b,0x62e6512,0x62e6519,0x62e647f,0x62e6486,0x62e648d,0x62e6525,0x62e652c,0x62e6533,0x62e653a,0x62e6541,0x62e6548,0x62e64a3,0x62e64b6,0x62e64de,0x62e65cd,0x62e65d4,0x62e65db,0x62e640f,;Not mono block loop;0;Success;176;96;80;288;0;1;
7;LLLLSLS;VMOVUPS,MOV,MOV,VMOVUPS,MOV,MOV,MOV,;0,0,16,0,15,24,24,;0x62e65b0,0x62e65a5,0x62e657b,0x62e6583,0x62e658c,0x62e6590,0x62e6598,;Not mono block loop;0;Success;65;32;33;32;0;1;
1;S;MOV,;0,;0x62e6400,;Not mono block loop;0;Success;8;8;0;8;0;1;
2;LL;MOV,MOV,;32,36,;0x62e6557,0x62e655e,;Not mono block loop;0;Success;12;12;0;12;0;2;
