group_size;pattern;opcodes;offsets;addresses;stride_status;stride;memory_status;accessed_memory;accessed_memory_nooverlap;accessed_memory_overlap;span;head;unroll_factor;
5;SSLLL;MOV,MOV,MOV,MOV,MOV,;0,8,8,0,56,;0x55e545,0x55e54c,0x55e553,0x55e558,0x55e21a,;Not mono block loop;0;Success;40;24;16;64;0;1;
2;LS;MOV,MOV,;0,0,;0x55e205,0x55e20f,;Not mono block loop;0;Success;16;8;8;8;0;1;
1;S;MOV,;0,;0x55e15f,;Not mono block loop;0;Success;8;8;0;8;0;1;
1;L;MOV,;16,;0x55e148,;Not mono block loop;0;Success;8;8;0;8;0;1;
2;LL;MOV,MOV,;16,96,;0x55e0a9,0x55e404,;Not mono block loop;0;Success;16;16;0;88;0;2;
3;LLL;MOV,MOV,MOV,;0,0,0,;0x55e0a6,0x55e145,0x55e1f5,;Not mono block loop;0;Success;24;8;16;8;0;3;
1;S;MOVUPS,;0,;0x55e08e,;Not mono block loop;0;Success;16;16;0;16;0;1;
4;LLSS;MOV,MOV,MOV,MOV,;40,40,40,40,;0x55e1a2,0x55e3ad,0x55e1b3,0x55e3bd,;Not mono block loop;0;Success;32;8;24;8;0;2;
1;S;INC,;5048,;0x55e4ae,;Not mono block loop;0;Success;8;8;0;8;0;1;
4;LSLS;MOV,MOV,MOV,MOV,;0,0,0,0,;0x55e38b,0x55e397,0x55e17a,0x55e186,;Not mono block loop;0;Success;24;8;16;8;0;1;
2;LS;MOV,MOV,;96,96,;0x55e1f8,0x55e1fc,;Not mono block loop;0;Success;16;8;8;8;0;1;
8;LLSLLLSS;MOV,MOV,MOV,CMP,CMP,MOV,MOV,MOV,;156,152,156,124,312,396,396,368,;0x55e0b2,0x55e0b8,0x55e0c1,0x55e3e4,0x55e3f7,0x55e411,0x55e421,0x55e42b,;Not mono block loop;0;Success;32;24;8;276;0;1;
4;LLSL;TEST,MOV,MOV,MOV,;4026986,4026230,4026216,4173928,;0x55e0d8,0x55e324,0x55e332,0x55e0e5,;Not mono block loop;0;Success;13;13;0;147716;0;1;
1;L;MOV,;208,;0x55e14c,;Not mono block loop;0;Success;8;8;0;8;0;1;
14;SSSSLSSLSLLSLS;MOVUPS,MOV,MOV,MOV,CMP,MOV,MOV,MOV,MOVUPS,CMP,MOV,MOV,MOV,MOV,;-16,8,0,16,-16,24,32,-8,-16,8,0,0,0,0,;0x55e0ad,0x55e0d0,0x55e0f5,0x55e108,0x55e114,0x55e11b,0x55e11f,0x55e139,0x55e16c,0x55e190,0x55e19e,0x55e1af,0x55e1d0,0x55e1db,;Not mono block loop;0;Success;120;56;64;56;0;1;
2;LS;MOV,MOV,;8,8,;0x55e153,0x55e171,;Not mono block loop;0;Success;16;8;8;8;0;1;
2;LS;MOV,MOV,;0,0,;0x55e106,0x55e119,;Not mono block loop;0;Success;8;4;4;4;0;1;
4;LLSS;MOV,MOV,MOV,MOV,;0,0,0,0,;0x55e3ba,0x55e1bc,0x55e3d1,0x55e1c7,;Not mono block loop;0;Success;32;8;24;8;0;2;
4;LLLL;MOV,MOV,MOV,SUB,;0,0,0,40,;0x55e092,0x55e129,0x55e1e5,0x55e21f,;Not mono block loop;0;Success;32;16;16;48;0;1;
