group_size;pattern;opcodes;offsets;addresses;stride_status;stride;memory_status;accessed_memory;accessed_memory_nooverlap;accessed_memory_overlap;span;head;unroll_factor;
1;L;MOV,;0,;0x62db585,;Not mono block loop;0;Success;8;8;0;8;0;1;
1;L;MOV,;0,;0x62db61d,;Not mono block loop;0;Success;8;8;0;8;0;1;
1;L;MOV,;0,;0x62db5b1,;Not mono block loop;0;Success;8;8;0;8;0;1;
2;LL;CMP,MOV,;-48,-448,;0x62db479,0x62db5c5,;Not mono block loop;0;Success;16;16;0;408;0;1;
2;LL;MOV,MOV,;0,8,;0x62db629,0x62db62c,;Not mono block loop;0;Success;16;16;0;16;0;2;
1;S;DEC,;416,;0x62db5ba,;Not mono block loop;0;Success;8;8;0;8;0;1;
3;LLL;MOV,MOV,MOV,;56,200,64,;0x62db57c,0x62db58e,0x62db5a8,;Not mono block loop;0;Success;24;24;0;152;0;1;
1;L;MOV,;184,;0x62db616,;Not mono block loop;0;Success;8;8;0;8;0;1;
1;L;MOV,;0,;0x62db620,;Not mono block loop;0;Success;8;8;0;8;0;1;
1;L;MOV,;40,;0x62db470,;Not mono block loop;0;Success;8;8;0;8;0;1;
