group_size;pattern;opcodes;offsets;addresses;stride_status;stride;memory_status;accessed_memory;accessed_memory_nooverlap;accessed_memory_overlap;span;head;unroll_factor;
2;SL;MOV,MOV,;0,8,;0x13aff0,0x13affc,;Not mono block loop;0;Success;16;16;0;16;0;1;
1;L;MOV,;0,;0x13ba56,;Not mono block loop;0;Success;8;8;0;8;0;1;
3;LSS;MOV,MOV,DEC,;32,32,32,;0x13afe5,0x13afec,0x13b003,;Not mono block loop;0;Success;12;4;8;4;0;1;
1;L;MOV,;2592462,;0x13bd2b,;Not mono block loop;0;Success;8;8;0;8;0;1;
1;S;MOV,;0,;0x13ba77,;Not mono block loop;0;Success;8;8;0;8;0;1;
1;L;MOV,;8,;0x13ba66,;Not mono block loop;0;Success;8;8;0;8;0;1;
2;LL;MOV,MOV,;16,8,;0x13afdb,0x13afe0,;Not mono block loop;0;Success;16;16;0;16;0;2;
1;L;MOV,;184,;0x13b007,;Not mono block loop;0;Success;8;8;0;8;0;1;
1;L;MOV,;8,;0x13ba4f,;Not mono block loop;0;Success;8;8;0;8;0;1;
4;LSLL;MOV,MOV,MOV,MOV,;88,24,24,16,;0x13bd09,0x13bd0e,0x13bd1d,0x13bd32,;Not mono block loop;0;Success;32;24;8;80;0;1;
2;LL;CMP,MOV,;20,112,;0x13bd05,0x13bd19,;Not mono block loop;0;Success;12;12;0;100;0;1;
1;L;SUB,;40,;0x13b00f,;Not mono block loop;0;Success;8;8;0;8;0;1;
