group_size;pattern;opcodes;offsets;addresses;stride_status;stride;memory_status;accessed_memory;accessed_memory_nooverlap;accessed_memory_overlap;span;head;unroll_factor;
1;S;SUB,;0,;0x669d6,;Not mono block loop;0;Success;8;8;0;8;0;1;
1;S;SUB,;0,;0x66a71,;Not mono block loop;0;Success;8;8;0;8;0;1;
1;S;SUB,;0,;0x669f5,;Not mono block loop;0;Success;8;8;0;8;0;1;
2;LS;MOV,MOV,;0,0,;0x66a0b,0x66a19,;Not mono block loop;0;Success;16;8;8;8;0;1;
2;LS;MOV,MOV,;0,0,;0x66a83,0x66a91,;Not mono block loop;0;Success;16;8;8;8;0;1;
1;S;SUB,;0,;0x672e5,;Not mono block loop;0;Success;8;8;0;8;0;1;
3;LLL;CMP,CMP,CMP,;107808,107765,107923,;0x66aa1,0x66acc,0x66a2e,;Not mono block loop;0;Success;24;24;0;166;0;1;
3;SLS;XADD,MOV,MOV,;56,0,0,;0x66ab7,0x673b0,0x673be,;Not mono block loop;0;Success;20;12;8;60;0;1;
3;SLS;XADD,MOV,MOV,;56,0,0,;0x66a3f,0x673e1,0x673ef,;Not mono block loop;0;Success;20;12;8;60;0;1;
28;LSSSLSSLSSSLSLLSLLSSLLSLSLSS;MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,;-1624,-1616,-1672,-1696,-1640,-1664,-1680,-1632,-1648,-1656,-1672,-1648,-1616,-1680,-1680,-1616,-1696,-1672,-1656,-1624,-1656,-1656,-1616,-1616,-1624,-1664,-1616,-1664,;0x677d6,0x677e2,0x677ed,0x67801,0x67808,0x6780f,0x67819,0x67820,0x67827,0x669cb,0x669b5,0x66a7c,0x66a86,0x66a9a,0x673a9,0x673b3,0x66ac5,0x672f2,0x672f9,0x67310,0x66a22,0x673da,0x673e4,0x669ff,0x66a0e,0x66a4d,0x669a4,0x6770e,;Not mono block loop;0;Success;212;76;136;88;0;1;
1;S;XADD,;56,;0x66ae2,;Not mono block loop;0;Success;4;4;0;4;0;1;
1;S;SUB,;0,;0x669e6,;Not mono block loop;0;Success;8;8;0;8;0;1;
2;LS;MOV,MOV,;0,0,;0x6730d,0x6731b,;Not mono block loop;0;Success;16;8;8;8;0;1;
