group_size;pattern;opcodes;offsets;addresses;stride_status;stride;memory_status;accessed_memory;accessed_memory_nooverlap;accessed_memory_overlap;span;head;unroll_factor;
1;S;MOV,;0,;0x4d9a48,;Not mono block loop;0;Success;8;8;0;8;0;1;
1;L;MOV,;24,;0x4d97c9,;Not mono block loop;0;Success;8;8;0;8;0;1;
1;S;MOV,;0,;0x4d9981,;Not mono block loop;0;Success;2;2;0;2;0;1;
1;S;MOV,;40,;0x4d9778,;Not mono block loop;0;Success;1;1;0;1;0;1;
1;L;MOV,;32,;0x4d9787,;Not mono block loop;0;Success;8;8;0;8;0;1;
4;SSSS;DEC,MOV,DEC,MOV,;24,32,24,32,;0x4d9a63,0x4d9a67,0x4d97ba,0x4d97c5,;Not mono block loop;0;Success;32;16;16;16;0;1;
2;LL;MOV,MOV,;32,8,;0x4d9757,0x4d975b,;Not mono block loop;0;Success;16;16;0;32;0;2;
1;L;CMP,;24,;0x4d9a0b,;Not mono block loop;0;Success;8;8;0;8;0;1;
3;SSS;MOV,MOV,MOV,;0,8,16,;0x4d978b,0x4d9792,0x4d979f,;Not mono block loop;0;Success;24;24;0;24;0;3;
4;LSLS;MOV,MOV,MOV,MOV,;2683456,2683429,2684126,2684099,;0x4d9a41,0x4d9a5c,0x4d97a3,0x4d97be,;Not mono block loop;0;Success;32;32;0;705;0;1;
2;LL;MOV,MOV,;16,32,;0x4d9a20,0x4d9a38,;Not mono block loop;0;Success;16;16;0;24;0;2;
6;LLSSSS;MOV,MOV,INC,MOV,INC,MOV,;32,40,16,24,16,24,;0x4d977d,0x4d978e,0x4d9a51,0x4d9a58,0x4d97af,0x4d97b6,;Not mono block loop;0;Success;48;32;16;32;0;1;
1;L;MOV,;16,;0x4d9a76,;Not mono block loop;0;Success;8;8;0;8;0;1;
1;L;MOV,;32,;0x4d9a8e,;Not mono block loop;0;Success;8;8;0;8;0;1;
1;L;SUB,;40,;0x4d97ce,;Not mono block loop;0;Success;8;8;0;8;0;1;
